Testing sample rate = 0.01
Interpolation 0 took: 8.65 seconds
Interpolation 1 took: 11.98 seconds
Interpolation 2 took: 6.7 seconds
Interpolation 3 took: 8.43 seconds
Interpolation 4 took: 6.08 seconds
Interpolation 5 took: 12.65 seconds
Interpolation 6 took: 7.77 seconds
Interpolation 7 took: 10.54 seconds
Interpolation 8 took: 10.16 seconds
Interpolation 9 took: 6.68 seconds
Testing sample rate = 0.03
Interpolation 0 took: 20.02 seconds
Interpolation 1 took: 20.36 seconds
Interpolation 2 took: 23.98 seconds
Interpolation 3 took: 21.27 seconds
Interpolation 4 took: 25.7 seconds
Interpolation 5 took: 19.67 seconds
Interpolation 6 took: 24.03 seconds
Interpolation 7 took: 22.41 seconds
Interpolation 8 took: 22.27 seconds
Interpolation 9 took: 25.45 seconds
Testing sample rate = 0.06
Interpolation 0 took: 49.63 seconds
Interpolation 1 took: 53.18 seconds
Interpolation 2 took: 57.03 seconds
Interpolation 3 took: 55.6 seconds
Interpolation 4 took: 51.28 seconds
Interpolation 5 took: 54.73 seconds
Interpolation 6 took: 56.46 seconds
Interpolation 7 took: 55.8 seconds
Interpolation 8 took: 50.69 seconds
Interpolation 9 took: 52.57 seconds
Testing sample rate = 0.1
Interpolation 0 took: 106.0 seconds
Interpolation 1 took: 104.23 seconds
Interpolation 2 took: 112.5 seconds
Interpolation 3 took: 104.0 seconds
Interpolation 4 took: 104.2 seconds
Interpolation 5 took: 103.33 seconds
Interpolation 6 took: 103.79 seconds
Interpolation 7 took: 104.43 seconds
Interpolation 8 took: 107.8 seconds
Interpolation 9 took: 101.97 seconds
Testing sample rate = 0.2
Interpolation 0 took: 413.48 seconds
Interpolation 1 took: 439.41 seconds
Interpolation 2 took: 469.87 seconds
Interpolation 3 took: 465.31 seconds
Interpolation 4 took: 570.1 seconds
Interpolation 5 took: 459.46 seconds
Interpolation 6 took: 435.91 seconds
Interpolation 7 took: 445.58 seconds
Interpolation 8 took: 436.97 seconds
Interpolation 9 took: 430.71 seconds
Testing sample rate = 0.3
Interpolation 0 took: 925.24 seconds
Interpolation 1 took: 923.51 seconds
Interpolation 2 took: 988.0 seconds
Interpolation 3 took: 987.95 seconds
Interpolation 4 took: 946.68 seconds
Interpolation 5 took: 897.13 seconds
Interpolation 6 took: 946.73 seconds
Interpolation 7 took: 906.84 seconds
Interpolation 8 took: 897.3 seconds
Interpolation 9 took: 994.6 seconds
Testing sample rate = 0.4
Interpolation 0 took: 1857.51 seconds
Interpolation 1 took: 1779.55 seconds
Interpolation 2 took: 1875.7 seconds
Interpolation 3 took: 1899.56 seconds
Interpolation 4 took: 1853.99 seconds
Interpolation 5 took: 1770.31 seconds
Interpolation 6 took: 1835.44 seconds
Interpolation 7 took: 1810.33 seconds
Interpolation 8 took: 1832.12 seconds
Interpolation 9 took: 1908.66 seconds
Testing sample rate = 0.5
Interpolation 0 took: 2948.86 seconds
Interpolation 1 took: 2918.16 seconds
Interpolation 2 took: 3035.51 seconds
Interpolation 3 took: 2931.37 seconds
Interpolation 4 took: 2998.64 seconds
Interpolation 5 took: 2955.57 seconds
Interpolation 6 took: 2819.47 seconds
Interpolation 7 took: 2966.71 seconds
Interpolation 8 took: 2959.53 seconds
Interpolation 9 took: 2709.18 seconds
Testing sample rate = 0.6
Interpolation 0 took: 3995.81 seconds
Interpolation 1 took: 4670.7 seconds
Interpolation 2 took: 4715.6 seconds
Interpolation 3 took: 4650.82 seconds
Interpolation 4 took: 4634.32 seconds
Interpolation 5 took: 4730.47 seconds
Interpolation 6 took: 4159.89 seconds
Interpolation 7 took: 4272.69 seconds
