Testing sample rate = 0.01
Interpolation 0 took: 13.64 seconds
Interpolation 1 took: 13.23 seconds
Interpolation 2 took: 13.44 seconds
Interpolation 3 took: 13.28 seconds
Interpolation 4 took: 13.3 seconds
Interpolation 5 took: 13.19 seconds
Interpolation 6 took: 13.55 seconds
Interpolation 7 took: 13.21 seconds
Interpolation 8 took: 13.44 seconds
Interpolation 9 took: 13.35 seconds
Testing sample rate = 0.03
Interpolation 0 took: 45.14 seconds
Interpolation 1 took: 44.03 seconds
Interpolation 2 took: 44.06 seconds
Interpolation 3 took: 44.2 seconds
Interpolation 4 took: 44.08 seconds
Interpolation 5 took: 44.17 seconds
Interpolation 6 took: 44.24 seconds
Interpolation 7 took: 44.23 seconds
Interpolation 8 took: 44.32 seconds
Interpolation 9 took: 44.39 seconds
Testing sample rate = 0.06
Interpolation 0 took: 106.98 seconds
Interpolation 1 took: 107.39 seconds
Interpolation 2 took: 107.63 seconds
Interpolation 3 took: 107.0 seconds
Interpolation 4 took: 106.8 seconds
Interpolation 5 took: 107.07 seconds
Interpolation 6 took: 106.89 seconds
Interpolation 7 took: 106.75 seconds
Interpolation 8 took: 107.58 seconds
Interpolation 9 took: 107.31 seconds
Testing sample rate = 0.1
Interpolation 0 took: 218.81 seconds
Interpolation 1 took: 219.36 seconds
Interpolation 2 took: 219.88 seconds
Interpolation 3 took: 217.67 seconds
Interpolation 4 took: 216.57 seconds
Interpolation 5 took: 219.05 seconds
Interpolation 6 took: 218.59 seconds
Interpolation 7 took: 218.57 seconds
Interpolation 8 took: 218.75 seconds
Interpolation 9 took: 219.93 seconds
Testing sample rate = 0.2
Interpolation 0 took: 730.92 seconds
Interpolation 1 took: 722.79 seconds
Interpolation 2 took: 724.08 seconds
Interpolation 3 took: 730.51 seconds
Interpolation 4 took: 718.45 seconds
Interpolation 5 took: 723.49 seconds
Interpolation 6 took: 726.3 seconds
Interpolation 7 took: 717.71 seconds
Interpolation 8 took: 731.27 seconds
Interpolation 9 took: 730.62 seconds
Testing sample rate = 0.3
Interpolation 0 took: 1633.34 seconds
Interpolation 1 took: 1637.18 seconds
Interpolation 2 took: 1611.02 seconds
Interpolation 3 took: 1633.44 seconds
Interpolation 4 took: 1629.25 seconds
Interpolation 5 took: 1626.44 seconds
Interpolation 6 took: 1642.29 seconds
Interpolation 7 took: 1623.1 seconds
Interpolation 8 took: 1621.35 seconds
Interpolation 9 took: 1644.41 seconds
Testing sample rate = 0.4
Interpolation 0 took: 3054.34 seconds
Interpolation 1 took: 3090.75 seconds
Interpolation 2 took: 3063.11 seconds
Interpolation 3 took: 3128.24 seconds
Interpolation 4 took: 3111.52 seconds
Interpolation 5 took: 3075.61 seconds
Interpolation 6 took: 3090.99 seconds
Interpolation 7 took: 3082.54 seconds
Interpolation 8 took: 3062.47 seconds
Interpolation 9 took: 3090.91 seconds
Testing sample rate = 0.5
Interpolation 0 took: 5237.95 seconds
Interpolation 1 took: 5234.64 seconds
Interpolation 2 took: 5267.68 seconds
Interpolation 3 took: 5271.71 seconds
Interpolation 4 took: 5219.25 seconds
Interpolation 5 took: 5272.77 seconds
Interpolation 6 took: 5297.34 seconds
Interpolation 7 took: 5202.75 seconds
Interpolation 8 took: 5214.58 seconds
Interpolation 9 took: 5202.72 seconds
