Testing chunk size = 1000
Interpolation 0 took: 0.29 seconds
Interpolation 1 took: 0.2 seconds
Interpolation 2 took: 0.2 seconds
Interpolation 3 took: 0.2 seconds
Interpolation 4 took: 0.2 seconds
Interpolation 5 took: 0.2 seconds
Interpolation 6 took: 0.2 seconds
Interpolation 7 took: 0.2 seconds
Interpolation 8 took: 0.2 seconds
Interpolation 9 took: 0.2 seconds
Testing chunk size = 3000
Interpolation 0 took: 2.12 seconds
Interpolation 1 took: 2.09 seconds
Interpolation 2 took: 2.08 seconds
Interpolation 3 took: 2.08 seconds
Interpolation 4 took: 2.09 seconds
Interpolation 5 took: 2.1 seconds
Interpolation 6 took: 2.09 seconds
Interpolation 7 took: 2.09 seconds
Interpolation 8 took: 2.1 seconds
Interpolation 9 took: 2.1 seconds
Testing chunk size = 6000
Interpolation 0 took: 7.2 seconds
Interpolation 1 took: 7.23 seconds
Interpolation 2 took: 7.24 seconds
Interpolation 3 took: 7.27 seconds
Interpolation 4 took: 7.27 seconds
Interpolation 5 took: 7.29 seconds
Interpolation 6 took: 7.32 seconds
Interpolation 7 took: 7.31 seconds
Interpolation 8 took: 7.32 seconds
Interpolation 9 took: 7.31 seconds
Testing chunk size = 10000
Interpolation 0 took: 30.55 seconds
Interpolation 1 took: 30.58 seconds
Interpolation 2 took: 31.18 seconds
Interpolation 3 took: 30.71 seconds
Interpolation 4 took: 30.59 seconds
Interpolation 5 took: 30.59 seconds
Interpolation 6 took: 30.58 seconds
Interpolation 7 took: 30.59 seconds
Interpolation 8 took: 30.6 seconds
Interpolation 9 took: 30.58 seconds
Testing chunk size = 30000
Interpolation 0 took: 344.43 seconds
Interpolation 1 took: 343.73 seconds
Interpolation 2 took: 344.08 seconds
Interpolation 3 took: 343.97 seconds
Interpolation 4 took: 346.35 seconds
Interpolation 5 took: 344.44 seconds
Interpolation 6 took: 344.11 seconds
Interpolation 7 took: 344.42 seconds
Interpolation 8 took: 344.9 seconds
Interpolation 9 took: 344.61 seconds
Testing chunk size = 60000
Interpolation 0 took: 1625.17 seconds
Interpolation 1 took: 1626.76 seconds
Interpolation 2 took: 1626.1 seconds
Interpolation 3 took: 1624.75 seconds
Interpolation 4 took: 1624.36 seconds
Interpolation 5 took: 1624.22 seconds
Interpolation 6 took: 1626.66 seconds
Interpolation 7 took: 1624.92 seconds
Interpolation 8 took: 1625.82 seconds
Interpolation 9 took: 1625.53 seconds
Testing chunk size = 100000
Interpolation 0 took: 5165.95 seconds
Interpolation 1 took: 5167.03 seconds
Interpolation 2 took: 5163.55 seconds
Interpolation 3 took: 5163.45 seconds
Interpolation 4 took: 5163.71 seconds
Interpolation 5 took: 5163.6 seconds
Interpolation 6 took: 5161.79 seconds
Interpolation 7 took: 5162.24 seconds
Interpolation 8 took: 5164.38 seconds
Interpolation 9 took: 5162.65 seconds
