Testing sample rate = 0.01
Interpolation 0 took: 2.34 seconds
Interpolation 1 took: 2.15 seconds
Interpolation 2 took: 2.05 seconds
Interpolation 3 took: 2.29 seconds
Interpolation 4 took: 2.4 seconds
Interpolation 5 took: 2.32 seconds
Interpolation 6 took: 2.22 seconds
Interpolation 7 took: 2.22 seconds
Interpolation 8 took: 2.22 seconds
Interpolation 9 took: 2.25 seconds
Testing sample rate = 0.03
Interpolation 0 took: 3.75 seconds
Interpolation 1 took: 3.52 seconds
Interpolation 2 took: 3.71 seconds
Interpolation 3 took: 3.26 seconds
Interpolation 4 took: 3.61 seconds
Interpolation 5 took: 3.31 seconds
Interpolation 6 took: 3.47 seconds
Interpolation 7 took: 3.29 seconds
Interpolation 8 took: 3.96 seconds
Interpolation 9 took: 3.36 seconds
Testing sample rate = 0.06
Interpolation 0 took: 7.78 seconds
Interpolation 1 took: 7.34 seconds
Interpolation 2 took: 7.34 seconds
Interpolation 3 took: 7.14 seconds
Interpolation 4 took: 7.24 seconds
Interpolation 5 took: 7.22 seconds
Interpolation 6 took: 7.5 seconds
Interpolation 7 took: 7.09 seconds
Interpolation 8 took: 7.9 seconds
Interpolation 9 took: 7.41 seconds
Testing sample rate = 0.1
Interpolation 0 took: 14.48 seconds
Interpolation 1 took: 13.96 seconds
Interpolation 2 took: 14.82 seconds
Interpolation 3 took: 13.78 seconds
Interpolation 4 took: 14.27 seconds
Interpolation 5 took: 13.51 seconds
Interpolation 6 took: 13.78 seconds
Interpolation 7 took: 13.95 seconds
Interpolation 8 took: 13.77 seconds
Interpolation 9 took: 14.87 seconds
Testing sample rate = 0.2
Interpolation 0 took: 44.34 seconds
Interpolation 1 took: 44.93 seconds
Interpolation 2 took: 44.38 seconds
Interpolation 3 took: 42.62 seconds
Interpolation 4 took: 43.19 seconds
Interpolation 5 took: 43.21 seconds
Interpolation 6 took: 44.86 seconds
Interpolation 7 took: 43.98 seconds
Interpolation 8 took: 46.27 seconds
Interpolation 9 took: 46.25 seconds
Testing sample rate = 0.3
Interpolation 0 took: 98.32 seconds
Interpolation 1 took: 96.28 seconds
Interpolation 2 took: 96.96 seconds
Interpolation 3 took: 94.36 seconds
Interpolation 4 took: 95.71 seconds
Interpolation 5 took: 95.85 seconds
Interpolation 6 took: 94.17 seconds
Interpolation 7 took: 93.85 seconds
Interpolation 8 took: 94.44 seconds
Interpolation 9 took: 94.65 seconds
Testing sample rate = 0.4
Interpolation 0 took: 170.6 seconds
Interpolation 1 took: 171.33 seconds
Interpolation 2 took: 172.59 seconds
Interpolation 3 took: 169.26 seconds
Interpolation 4 took: 171.85 seconds
Interpolation 5 took: 171.84 seconds
Interpolation 6 took: 171.4 seconds
Interpolation 7 took: 172.93 seconds
Interpolation 8 took: 172.12 seconds
Interpolation 9 took: 171.56 seconds
Testing sample rate = 0.5
Interpolation 0 took: 300.04 seconds
Interpolation 1 took: 294.71 seconds
Interpolation 2 took: 300.11 seconds
Interpolation 3 took: 294.67 seconds
Interpolation 4 took: 297.04 seconds
Interpolation 5 took: 294.5 seconds
Interpolation 6 took: 295.83 seconds
Interpolation 7 took: 302.05 seconds
Interpolation 8 took: 295.95 seconds
Interpolation 9 took: 302.96 seconds
Testing sample rate = 0.6
Interpolation 0 took: 431.87 seconds
Interpolation 1 took: 424.15 seconds
Interpolation 2 took: 425.87 seconds
Interpolation 3 took: 421.42 seconds
Interpolation 4 took: 416.8 seconds
Interpolation 5 took: 421.04 seconds
Interpolation 6 took: 431.43 seconds
Interpolation 7 took: 427.28 seconds
Interpolation 8 took: 424.56 seconds
Interpolation 9 took: 427.33 seconds
Testing sample rate = 0.7
Interpolation 0 took: 647.32 seconds
Interpolation 1 took: 641.91 seconds
Interpolation 2 took: 635.47 seconds
Interpolation 3 took: 646.93 seconds
Interpolation 4 took: 645.32 seconds
Interpolation 5 took: 646.01 seconds
Interpolation 6 took: 647.06 seconds
Interpolation 7 took: 639.79 seconds
Interpolation 8 took: 642.75 seconds
Interpolation 9 took: 638.76 seconds
Testing sample rate = 0.8
Interpolation 0 took: 833.0 seconds
Interpolation 1 took: 830.56 seconds
Interpolation 2 took: 825.9 seconds
Interpolation 3 took: 826.57 seconds
Interpolation 4 took: 827.15 seconds
Interpolation 5 took: 835.95 seconds
Interpolation 6 took: 833.37 seconds
Interpolation 7 took: 830.02 seconds
Interpolation 8 took: 834.84 seconds
Interpolation 9 took: 833.62 seconds
Testing sample rate = 0.9
Interpolation 0 took: 1079.69 seconds
Interpolation 1 took: 1070.71 seconds
Interpolation 2 took: 1075.26 seconds
Interpolation 3 took: 1079.27 seconds
Interpolation 4 took: 1071.76 seconds
Interpolation 5 took: 1092.36 seconds
Interpolation 6 took: 1077.23 seconds
Interpolation 7 took: 1090.41 seconds
Interpolation 8 took: 1087.76 seconds
Interpolation 9 took: 1069.03 seconds
Testing sample rate = 1.0
Interpolation 0 took: 1466.21 seconds
Interpolation 1 took: 1474.03 seconds
Interpolation 2 took: 1449.56 seconds
Interpolation 3 took: 1461.89 seconds
Interpolation 4 took: 1457.5 seconds
Interpolation 5 took: 1464.2 seconds
Interpolation 6 took: 1444.02 seconds
Interpolation 7 took: 1453.57 seconds
Interpolation 8 took: 1453.89 seconds
Interpolation 9 took: 1451.32 seconds
