Testing sample rate = 0.01
Interpolation 0 took: 3.85 seconds
Interpolation 1 took: 4.15 seconds
Interpolation 2 took: 4.17 seconds
Interpolation 3 took: 3.8 seconds
Interpolation 4 took: 3.67 seconds
Interpolation 5 took: 4.04 seconds
Interpolation 6 took: 3.44 seconds
Interpolation 7 took: 3.59 seconds
Interpolation 8 took: 3.88 seconds
Interpolation 9 took: 4.3 seconds
Testing sample rate = 0.03
Interpolation 0 took: 10.78 seconds
Interpolation 1 took: 10.75 seconds
Interpolation 2 took: 10.9 seconds
Interpolation 3 took: 10.75 seconds
Interpolation 4 took: 12.0 seconds
Interpolation 5 took: 10.33 seconds
Interpolation 6 took: 12.57 seconds
Interpolation 7 took: 12.31 seconds
Interpolation 8 took: 11.3 seconds
Interpolation 9 took: 11.58 seconds
Testing sample rate = 0.06
Interpolation 0 took: 24.63 seconds
Interpolation 1 took: 25.89 seconds
Interpolation 2 took: 24.91 seconds
Interpolation 3 took: 24.03 seconds
Interpolation 4 took: 25.51 seconds
Interpolation 5 took: 28.06 seconds
Interpolation 6 took: 24.47 seconds
Interpolation 7 took: 28.29 seconds
Interpolation 8 took: 29.05 seconds
Interpolation 9 took: 24.69 seconds
Testing sample rate = 0.1
Interpolation 0 took: 40.17 seconds
Interpolation 1 took: 43.8 seconds
Interpolation 2 took: 42.58 seconds
Interpolation 3 took: 52.89 seconds
Interpolation 4 took: 50.32 seconds
Interpolation 5 took: 45.7 seconds
Interpolation 6 took: 45.73 seconds
Interpolation 7 took: 43.41 seconds
Interpolation 8 took: 43.67 seconds
Interpolation 9 took: 40.15 seconds
Testing sample rate = 0.2
Interpolation 0 took: 212.32 seconds
Interpolation 1 took: 188.87 seconds
Interpolation 2 took: 210.72 seconds
Interpolation 3 took: 204.74 seconds
Interpolation 4 took: 209.33 seconds
Interpolation 5 took: 196.8 seconds
Interpolation 6 took: 196.87 seconds
Interpolation 7 took: 212.55 seconds
Interpolation 8 took: 196.3 seconds
Interpolation 9 took: 180.0 seconds
Testing sample rate = 0.3
Interpolation 0 took: 466.04 seconds
Interpolation 1 took: 362.07 seconds
Interpolation 2 took: 284.3 seconds
Interpolation 3 took: 299.47 seconds
Interpolation 4 took: 294.92 seconds
Interpolation 5 took: 290.26 seconds
Interpolation 6 took: 291.74 seconds
Interpolation 7 took: 283.69 seconds
Interpolation 8 took: 295.92 seconds
Interpolation 9 took: 293.14 seconds
Testing sample rate = 0.4
Interpolation 0 took: 541.09 seconds
Interpolation 1 took: 535.56 seconds
Interpolation 2 took: 533.73 seconds
Interpolation 3 took: 534.64 seconds
Interpolation 4 took: 671.11 seconds
Interpolation 5 took: 713.21 seconds
Interpolation 6 took: 654.38 seconds
Interpolation 7 took: 796.32 seconds
Interpolation 8 took: 726.35 seconds
Interpolation 9 took: 714.76 seconds
Testing sample rate = 0.5
Interpolation 0 took: 1122.97 seconds
Interpolation 1 took: 1128.46 seconds
Interpolation 2 took: 1214.03 seconds
Interpolation 3 took: 1190.07 seconds
Interpolation 4 took: 1227.96 seconds
Interpolation 5 took: 1165.33 seconds
Interpolation 6 took: 1193.08 seconds
Interpolation 7 took: 1203.78 seconds
Interpolation 8 took: 1099.19 seconds
Interpolation 9 took: 1164.53 seconds
Testing sample rate = 0.6
Interpolation 0 took: 1922.65 seconds
Interpolation 1 took: 1866.56 seconds
Interpolation 2 took: 1667.01 seconds
Interpolation 3 took: 1341.37 seconds
Interpolation 4 took: 1378.55 seconds
Interpolation 5 took: 1371.45 seconds
Interpolation 6 took: 1344.34 seconds
Interpolation 7 took: 1321.17 seconds
Interpolation 8 took: 1372.41 seconds
Interpolation 9 took: 1425.38 seconds
Testing sample rate = 0.7
Interpolation 0 took: 2777.4 seconds
Interpolation 1 took: 2580.2 seconds
Interpolation 2 took: 2643.23 seconds
Interpolation 3 took: 2793.02 seconds
Interpolation 4 took: 2849.17 seconds
Interpolation 5 took: 2733.48 seconds
Interpolation 6 took: 2361.95 seconds
Interpolation 7 took: 2613.8 seconds
Interpolation 8 took: 2857.79 seconds
Interpolation 9 took: 2212.4 seconds
Testing sample rate = 0.8
Interpolation 0 took: 2528.4 seconds
Interpolation 1 took: 2527.01 seconds
Interpolation 2 took: 2530.37 seconds
Interpolation 3 took: 3560.48 seconds
Interpolation 4 took: 3849.15 seconds
Interpolation 5 took: 3630.54 seconds
Interpolation 6 took: 3750.36 seconds
Interpolation 7 took: 2852.11 seconds
Interpolation 8 took: 2530.29 seconds
Interpolation 9 took: 2538.15 seconds
Testing sample rate = 0.9
Interpolation 0 took: 4180.96 seconds
