Testing chunk size = 1000
Interpolation 0 took: 0.1 seconds
Interpolation 1 took: 0.07 seconds
Interpolation 2 took: 0.06 seconds
Interpolation 3 took: 0.06 seconds
Interpolation 4 took: 0.1 seconds
Interpolation 5 took: 0.06 seconds
Interpolation 6 took: 0.06 seconds
Interpolation 7 took: 0.12 seconds
Interpolation 8 took: 0.07 seconds
Interpolation 9 took: 0.06 seconds
Testing chunk size = 3000
Interpolation 0 took: 0.41 seconds
Interpolation 1 took: 0.42 seconds
Interpolation 2 took: 0.47 seconds
Interpolation 3 took: 0.43 seconds
Interpolation 4 took: 0.41 seconds
Interpolation 5 took: 0.44 seconds
Interpolation 6 took: 0.44 seconds
Interpolation 7 took: 0.41 seconds
Interpolation 8 took: 0.44 seconds
Interpolation 9 took: 0.44 seconds
Testing chunk size = 6000
Interpolation 0 took: 1.41 seconds
Interpolation 1 took: 1.35 seconds
Interpolation 2 took: 1.34 seconds
Interpolation 3 took: 1.32 seconds
Interpolation 4 took: 1.32 seconds
Interpolation 5 took: 1.32 seconds
Interpolation 6 took: 1.35 seconds
Interpolation 7 took: 1.35 seconds
Interpolation 8 took: 1.39 seconds
Interpolation 9 took: 1.38 seconds
Testing chunk size = 10000
Interpolation 0 took: 5.32 seconds
Interpolation 1 took: 5.3 seconds
Interpolation 2 took: 5.33 seconds
Interpolation 3 took: 5.31 seconds
Interpolation 4 took: 5.31 seconds
Interpolation 5 took: 5.31 seconds
Interpolation 6 took: 5.36 seconds
Interpolation 7 took: 5.39 seconds
Interpolation 8 took: 5.39 seconds
Interpolation 9 took: 5.31 seconds
Testing chunk size = 30000
Interpolation 0 took: 60.23 seconds
Interpolation 1 took: 62.4 seconds
Interpolation 2 took: 58.87 seconds
Interpolation 3 took: 60.34 seconds
Interpolation 4 took: 58.99 seconds
Interpolation 5 took: 62.56 seconds
Interpolation 6 took: 60.74 seconds
Interpolation 7 took: 59.34 seconds
Interpolation 8 took: 59.11 seconds
Interpolation 9 took: 60.78 seconds
Testing chunk size = 60000
Interpolation 0 took: 281.78 seconds
Interpolation 1 took: 297.08 seconds
Interpolation 2 took: 284.68 seconds
Interpolation 3 took: 288.5 seconds
Interpolation 4 took: 278.7 seconds
Interpolation 5 took: 278.39 seconds
Interpolation 6 took: 277.73 seconds
Interpolation 7 took: 271.41 seconds
Interpolation 8 took: 276.33 seconds
Interpolation 9 took: 275.73 seconds
Testing chunk size = 100000
Interpolation 0 took: 3104.2 seconds
Interpolation 1 took: 3223.01 seconds
Interpolation 2 took: 3186.77 seconds
Interpolation 3 took: 3241.36 seconds
Interpolation 4 took: 3231.28 seconds
Interpolation 5 took: 3152.62 seconds
Interpolation 6 took: 3144.12 seconds
Interpolation 7 took: 3100.54 seconds
Interpolation 8 took: 2710.34 seconds
Interpolation 9 took: 3165.14 seconds
Testing chunk size = 300000
Interpolation 0 took: 26704.3 seconds
