Testing chunk size = 1000
Interpolation 0 took: 0.14 seconds
Interpolation 1 took: 0.54 seconds
Interpolation 2 took: 0.61 seconds
Interpolation 3 took: 0.41 seconds
Interpolation 4 took: 0.69 seconds
Interpolation 5 took: 0.26 seconds
Interpolation 6 took: 0.17 seconds
Interpolation 7 took: 0.39 seconds
Interpolation 8 took: 0.34 seconds
Interpolation 9 took: 0.32 seconds
Testing chunk size = 3000
Interpolation 0 took: 0.54 seconds
Interpolation 1 took: 0.4 seconds
Interpolation 2 took: 0.3 seconds
Interpolation 3 took: 0.36 seconds
Interpolation 4 took: 0.85 seconds
Interpolation 5 took: 0.51 seconds
Interpolation 6 took: 0.59 seconds
Interpolation 7 took: 0.62 seconds
Interpolation 8 took: 0.38 seconds
Interpolation 9 took: 0.41 seconds
Testing chunk size = 6000
Interpolation 0 took: 0.99 seconds
Interpolation 1 took: 1.0 seconds
Interpolation 2 took: 1.31 seconds
Interpolation 3 took: 0.72 seconds
Interpolation 4 took: 1.61 seconds
Interpolation 5 took: 1.03 seconds
Interpolation 6 took: 1.06 seconds
Interpolation 7 took: 0.8 seconds
Interpolation 8 took: 1.34 seconds
Interpolation 9 took: 0.9 seconds
Testing chunk size = 10000
Interpolation 0 took: 2.55 seconds
Interpolation 1 took: 2.64 seconds
Interpolation 2 took: 2.33 seconds
Interpolation 3 took: 2.57 seconds
Interpolation 4 took: 2.36 seconds
Interpolation 5 took: 2.76 seconds
Interpolation 6 took: 2.07 seconds
Interpolation 7 took: 2.69 seconds
Interpolation 8 took: 2.33 seconds
Interpolation 9 took: 2.69 seconds
Testing chunk size = 30000
Interpolation 0 took: 22.57 seconds
Interpolation 1 took: 22.32 seconds
Interpolation 2 took: 21.98 seconds
Interpolation 3 took: 21.92 seconds
Interpolation 4 took: 21.75 seconds
Interpolation 5 took: 22.77 seconds
Interpolation 6 took: 22.37 seconds
Interpolation 7 took: 21.81 seconds
Interpolation 8 took: 21.77 seconds
Interpolation 9 took: 22.02 seconds
Testing chunk size = 60000
Interpolation 0 took: 100.29 seconds
Interpolation 1 took: 99.59 seconds
Interpolation 2 took: 104.12 seconds
Interpolation 3 took: 99.05 seconds
Interpolation 4 took: 99.99 seconds
Interpolation 5 took: 103.71 seconds
Interpolation 6 took: 101.17 seconds
Interpolation 7 took: 103.11 seconds
Interpolation 8 took: 100.3 seconds
Interpolation 9 took: 96.86 seconds
Testing chunk size = 100000
Interpolation 0 took: 630.82 seconds
Interpolation 1 took: 635.9 seconds
Interpolation 2 took: 636.13 seconds
Interpolation 3 took: 637.33 seconds
Interpolation 4 took: 635.28 seconds
Interpolation 5 took: 634.46 seconds
Interpolation 6 took: 635.04 seconds
Interpolation 7 took: 638.84 seconds
Interpolation 8 took: 636.44 seconds
Interpolation 9 took: 638.47 seconds
Testing chunk size = 300000
Interpolation 0 took: 7233.5 seconds
Interpolation 1 took: 7140.71 seconds
Interpolation 2 took: 7198.27 seconds
Interpolation 3 took: 7183.34 seconds
Interpolation 4 took: 7224.27 seconds
Interpolation 5 took: 7212.62 seconds
Interpolation 6 took: 7240.02 seconds
Interpolation 7 took: 7028.08 seconds
Interpolation 8 took: 7045.38 seconds
Interpolation 9 took: 7259.88 seconds
