Testing chunk size = 1000
Interpolation 0 took: 0.69 seconds
Interpolation 1 took: 0.71 seconds
Interpolation 2 took: 0.7 seconds
Interpolation 3 took: 0.72 seconds
Interpolation 4 took: 0.74 seconds
Interpolation 5 took: 0.73 seconds
Interpolation 6 took: 0.75 seconds
Interpolation 7 took: 0.78 seconds
Interpolation 8 took: 0.77 seconds
Interpolation 9 took: 0.78 seconds
Testing chunk size = 3000
Interpolation 0 took: 1.48 seconds
Interpolation 1 took: 1.52 seconds
Interpolation 2 took: 1.56 seconds
Interpolation 3 took: 1.56 seconds
Interpolation 4 took: 1.51 seconds
Interpolation 5 took: 1.55 seconds
Interpolation 6 took: 1.48 seconds
Interpolation 7 took: 1.52 seconds
Interpolation 8 took: 1.54 seconds
Interpolation 9 took: 1.61 seconds
Testing chunk size = 6000
Interpolation 0 took: 2.67 seconds
Interpolation 1 took: 2.72 seconds
Interpolation 2 took: 2.71 seconds
Interpolation 3 took: 2.7 seconds
Interpolation 4 took: 2.72 seconds
Interpolation 5 took: 2.71 seconds
Interpolation 6 took: 2.69 seconds
Interpolation 7 took: 2.73 seconds
Interpolation 8 took: 2.71 seconds
Interpolation 9 took: 2.72 seconds
Testing chunk size = 10000
Interpolation 0 took: 10.29 seconds
Interpolation 1 took: 10.64 seconds
Interpolation 2 took: 9.4 seconds
Interpolation 3 took: 9.84 seconds
Interpolation 4 took: 9.84 seconds
Interpolation 5 took: 9.51 seconds
Interpolation 6 took: 9.55 seconds
Interpolation 7 took: 8.88 seconds
Interpolation 8 took: 9.54 seconds
Interpolation 9 took: 9.3 seconds
Testing chunk size = 30000
Interpolation 0 took: 60.5 seconds
Interpolation 1 took: 62.2 seconds
Interpolation 2 took: 62.26 seconds
Interpolation 3 took: 62.15 seconds
Interpolation 4 took: 62.17 seconds
Interpolation 5 took: 62.05 seconds
Interpolation 6 took: 61.97 seconds
Interpolation 7 took: 62.16 seconds
Interpolation 8 took: 60.45 seconds
Interpolation 9 took: 55.92 seconds
Testing chunk size = 60000
Interpolation 0 took: 376.79 seconds
Interpolation 1 took: 391.77 seconds
Interpolation 2 took: 395.46 seconds
Interpolation 3 took: 425.72 seconds
Interpolation 4 took: 370.44 seconds
Interpolation 5 took: 368.98 seconds
Interpolation 6 took: 424.47 seconds
Interpolation 7 took: 399.06 seconds
Interpolation 8 took: 466.18 seconds
Interpolation 9 took: 385.85 seconds
Testing chunk size = 100000
Interpolation 0 took: 1129.77 seconds
Interpolation 1 took: 1230.82 seconds
Interpolation 2 took: 1127.2 seconds
Interpolation 3 took: 1176.84 seconds
Interpolation 4 took: 1152.25 seconds
Interpolation 5 took: 1296.65 seconds
Interpolation 6 took: 1112.12 seconds
Interpolation 7 took: 1078.48 seconds
Interpolation 8 took: 1177.9 seconds
Interpolation 9 took: 1293.94 seconds
Testing chunk size = 300000
Interpolation 0 took: 9622.57 seconds
